#  time  position  equilibrium_position  force_constant(kJ mol^-1 distance^-2)
      5498      2.58228             2.5                         500
      5518      2.40774             2.5                         500
      5538      2.64645             2.5                         500
      5558      2.48883             2.5                         500
      5578      2.58536             2.5                         500
      5598      2.51554             2.5                         500
      5618      2.53568             2.5                         500
      5638      2.54893             2.5                         500
      5658      2.47932             2.5                         500
      5678      2.44166             2.5                         500
      5698      2.50961             2.5                         500
      5718      2.50841             2.5                         500
      5738      2.46648             2.5                         500
      5758      2.38401             2.5                         500
      5778      2.56264             2.5                         500
      5798      2.44889             2.5                         500
      5818       2.4093             2.5                         500
      5838      2.52969             2.5                         500
      5858      2.58308             2.5                         500
      5878      2.48057             2.5                         500
      5898        2.514             2.5                         500
      5918      2.48227             2.5                         500
      5938      2.45854             2.5                         500
      5958      2.46273             2.5                         500
      5978      2.46546             2.5                         500
      5998      2.68228             2.5                         500
      6018       2.5672             2.5                         500
      6038      2.50834             2.5                         500
      6058      2.45794             2.5                         500
      6078      2.43318             2.5                         500
      6098      2.44045             2.5                         500
      6118      2.45986             2.5                         500
      6138      2.38195             2.5                         500
      6158      2.44509             2.5                         500
      6178      2.45145             2.5                         500
      6198       2.4463             2.5                         500
      6218      2.47795             2.5                         500
      6238      2.54611             2.5                         500
      6258      2.58405             2.5                         500
      6278      2.53329             2.5                         500
      6298      2.62687             2.5                         500
      6318      2.61167             2.5                         500
      6338       2.6701             2.5                         500
      6358      2.57644             2.5                         500
      6378      2.57164             2.5                         500
      6398       2.5754             2.5                         500
      6418      2.58132             2.5                         500
      6438      2.54402             2.5                         500
      6458      2.45656             2.5                         500
      6478      2.46731             2.5                         500
      6498      2.50438             2.5                         500
      6518      2.52046             2.5                         500
      6538      2.47358             2.5                         500
      6558      2.50319             2.5                         500
      6578      2.61947             2.5                         500
      6598      2.48149             2.5                         500
      6618      2.42627             2.5                         500
      6638      2.56385             2.5                         500
      6658      2.49999             2.5                         500
      6678      2.57332             2.5                         500
      6698      2.56268             2.5                         500
      6718      2.46105             2.5                         500
      6738      2.42609             2.5                         500
      6758      2.43411             2.5                         500
      6778      2.49633             2.5                         500
      6798      2.51735             2.5                         500
      6818      2.47701             2.5                         500
      6838      2.53788             2.5                         500
      6858      2.55009             2.5                         500
      6878      2.47691             2.5                         500
      6898      2.45163             2.5                         500
      6918      2.49346             2.5                         500
      6938      2.51769             2.5                         500
      6958      2.49285             2.5                         500
      6978       2.5971             2.5                         500
      6998      2.55154             2.5                         500
      7018      2.54411             2.5                         500
